kegg_pathway_id	kegg_ko_id	coords
00030	K05774	"605,596"
00030	K01810	"179,342"
00030	K06859	"179,342"
00030	K13810	"179,342"
00030	K15916	"179,342"
00030	K01625	"717,301"
00030	K17463	"717,301"
00030	K00852	"378,654"
00030	K01839	"379,686"
00030	K15779	"379,686"
00030	K01619	"239,686"
00030	K00948	"507,558"
00030	K01839	"605,532"
00030	K15779	"605,532"
00030	K00852	"605,511"
00030	K00615	"397,551"
00030	K01807	"507,476"
00030	K01808	"507,476"
00030	K01783	"453,437"
00030	K00615	"282,437"
00030	K01623	"177,553"
00030	K01624	"177,553"
00030	K01622	"177,553"
00030	K11645	"177,553"
00030	K16305	"177,553"
00030	K16306	"177,553"
00030	K00850	"153,484"
00030	K16370	"153,484"
00030	K03841	"117,461"
00030	K02446	"117,461"
00030	K11532	"117,461"
00030	K01086	"117,461"
00030	K04041	"117,461"
00030	K01622	"117,461"
00030	K01810	"179,408"
00030	K06859	"179,408"
00030	K13810	"179,408"
00030	K15916	"179,408"
00030	K00032	"470,268"
00030	K11441	"427,232"
00030	K00033	"507,357"
00030	K01057	"428,311"
00030	K07404	"428,311"
00030	K00036	"257,311"
00030	K00874	"618,232"
00030	K01690	"575,312"
00030	K00851	"511,232"
00030	K05308	"575,157"
00030	K01053	"398,147"
00030	K00117	"267,205"
00030	K00115	"219,205"
00030	K00034	"244,116"
00030	K06151	"427,176"
00030	K06152	"427,176"
00030	K00616	"341,517"
00030	K13810	"341,517"
00030	K01835	"605,553"
00030	K15779	"605,553"
00030	K15778	"605,553"
00030	K11395	"717,136"
00030	K03738	"836,165"
00030	K11529	"923,147"
00030	K11395	"717,322"
00030	K01621	"240,630"
00030	K00090	"470,207"
00030	K13937	"336,285"
00030	K00918	"203,484"
00030	K08093	"428,374"
00030	K13812	"428,374"
00030	K13831	"428,374"
00030	K08094	"257,374"
00030	K13831	"257,374"
00030	K17468	"643,348"
00030	K17464	"595,375"
00030	K17465	"595,375"
00030	K17466	"595,375"
00030	K17467	"595,375"
00030	K18020	"836,127"
00030	K18021	"836,127"
00030	K18022	"836,127"
00030	K00131	"836,311"
00030	K18127	"717,157"
00030	K18124	"219,184"
00030	K18125	"267,184"
00030	K18126	"668,232"
00030	K18128	"836,146"
