kegg_pathway_id	kegg_ko_id	
00562	K00920	"461,87"
00562	K01099	"509,173"
00562	K00328	"31,307"
00562	K00915	"31,307"
00562	K00328	"113,425"
00562	K00915	"113,425"
00562	K01110	"594,85"
00562	K03103	"151,262"
00562	K01106	"151,295"
00562	K00911	"151,229"
00562	K00913	"151,327"
00562	K01083	"145,532"
00562	K01093	"85,532"
00562	K00913	"210,339"
00562	K00915	"210,394"
00562	K00913	"211,463"
00562	K01106	"261,229"
00562	K01107	"261,295"
00562	K15422	"261,295"
00562	K01107	"366,229"
00562	K15422	"366,229"
00562	K01109	"366,295"
00562	K01108	"693,330"
00562	K01858	"380,255"
00562	K01092	"475,229"
00562	K15759	"475,229"
00562	K10047	"475,229"
00562	K18649	"475,229"
00562	K01092	"475,295"
00562	K15759	"475,295"
00562	K10047	"475,295"
00562	K18649	"475,295"
00562	K00469	"487,475"
00562	K00888	"688,222"
00562	K13711	"688,222"
00562	K01114	"753,284"
00562	K16619	"753,284"
00562	K00889	"559,173"
00562	K13712	"559,173"
00562	K00914	"797,190"
00562	K01108	"847,190"
00562	K01092	"594,285"
00562	K15759	"594,285"
00562	K10047	"594,285"
00562	K18649	"594,285"
00562	K01116	"374,141"
00562	K05857	"374,141"
00562	K05858	"374,141"
00562	K05859	"374,141"
00562	K05860	"374,141"
00562	K05861	"374,141"
00562	K01771	"753,305"
00562	K10572	"145,464"
00562	K00922	"594,141"
00562	K00010	"590,432"
00562	K03335	"693,432"
00562	K03336	"782,432"
00562	K03337	"878,432"
00562	K03338	"969,432"
00562	K03339	"1024,464"
00562	K00140	"921,502"
00562	K01803	"921,549"
00562	K00921	"823,118"
00562	K00999	"689,254"
00562	K01109	"742,147"
00562	K00923	"594,207"
00562	K03084	"656,114"
00562	K15909	"656,114"
00562	K06606	"643,500"
00562	K00010	"590,547"
00562	K16043	"590,471"
00562	K16044	"590,492"
00562	K07281	"420,339"
00562	K07291	"420,400"
