kegg_pathway_id	kegg_ko_id	coords
00982	K00129	"794,216"
00982	K00485	"117,239"
00982	K17689	"240,162"
00982	K17689	"240,208"
00982	K17689	"128,297"
00982	K17689	"133,396"
00982	K17712	"52,349"
00982	K17712	"196,348"
00982	K17689	"240,296"
00982	K17689	"977,550"
00982	K17689	"951,573"
00982	K07409	"901,573"
00982	K07409	"977,529"
00982	K17689	"664,212"
00982	K17689	"595,327"
00982	K17689	"535,212"
00982	K17689	"595,264"
00982	K17689	"510,347"
00982	K17709	"595,245"
00982	K17719	"595,226"
00982	K17721	"595,226"
00982	K17709	"595,308"
00982	K00799	"743,183"
00982	K13299	"743,183"
00982	K13951	"794,197"
00982	K13980	"794,197"
00982	K13952	"794,197"
00982	K13953	"794,197"
00982	K00001	"794,197"
00982	K00121	"794,197"
00982	K17712	"68,570"
00982	K00699	"117,497"
00982	K00699	"116,647"
00982	K17709	"1073,894"
00982	K17719	"1097,875"
00982	K17683	"1123,894"
00982	K17689	"483,540"
00982	K17689	"481,619"
00982	K17689	"616,928"
00982	K17689	"1197,255"
00982	K17712	"1172,322"
00982	K17721	"1172,236"
00982	K00274	"1224,208"
00982	K00274	"1224,291"
00982	K00274	"1224,360"
00982	K00157	"1325,291"
00982	K17689	"51,834"
00982	K17689	"51,889"
00982	K07415	"101,889"
00982	K07415	"101,834"
00982	K13951	"198,861"
00982	K13980	"198,861"
00982	K13952	"198,861"
00982	K13953	"198,861"
00982	K00001	"198,861"
00982	K00121	"198,861"
00982	K13951	"288,932"
00982	K13980	"288,932"
00982	K13952	"288,932"
00982	K13953	"288,932"
00982	K00001	"288,932"
00982	K00121	"288,932"
00982	K00129	"288,861"
00982	K17689	"127,539"
00982	K00699	"116,684"
00982	K17719	"595,289"
00982	K17721	"595,289"
00982	K17689	"616,883"
00982	K17689	"671,805"
00982	K17709	"616,904"
00982	K17718	"616,949"
00982	K17683	"1141,920"
00982	K17689	"604,620"
00982	K17689	"602,540"
00982	K17712	"1147,255"
00982	K17712	"1215,162"
00982	K17690	"560,347"
00982	K17709	"536,367"
00982	K17719	"102,349"
